Crime,Count
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.09 NOISE,4
SUSPICIOUS ACTIVITY : ODOR,15
UNAUTHORIZED ACCESS : SPACE,22
INTERFERENCE : PRIVACY,1
UNAUTHORIZED ACCESS,5
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ALCOHOL VIOLATION : UNLAWFUL CONSUMPTION (Count 1)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ALCOHOL VIOLATION : UNLAWFUL CONSUMPTION (Count 2)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ALCOHOL VIOLATION : UNLAWFUL POSSESSION (Count 1)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ALCOHOL VIOLATION : UNLAWFUL POSSESSION (Count 2)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : DRUG PARAPHERNALIA (Count 1)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : DRUG PARAPHERNALIA (Count 2)",1
PUBLIC SAFETY : OTHER,2
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : UNLAWFUL POSSESSION (Count 1)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : UNLAWFUL POSSESSION (Count 2)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : UNLAWFUL POSSESSION (Count 3)",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : UNLAWFUL POSSESSION (Count 4)",1
UNWANTED PERSON,9
SUSPICIOUS ACTIVITY : PACKAGE/ITEM/DEVICE,5
COMPLAINT : NOISE,16
OTHER,2
ASSIST : OTHER,7
MAINTENANCE ELEVATOR : ENTRAPMENT,3
ANIMAL : OFF LEASH,2
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.05 FIRE SAFETY,2
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.3 CONDUCT PROCESS AND PROCEDURES 
(Count 1)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.3 CONDUCT PROCESS AND PROCEDURES 
(Count 2)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.3 CONDUCT PROCESS AND PROCEDURES 
(Count 3)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.3 CONDUCT PROCESS AND PROCEDURES 
(Count 4)",1
UNAUTHORIZED ACCESS : SPACE (Count 1),2
COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES,2
TRESPASS : TITLE IX,3
TRESPASS : ISSUED,8
TRESPASS : VIOLATION,4
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.01 APPLIANCES,2
ALARMS : BURGLARY,2
COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.5 NEIGHBORHOOD RELATIONS,1
UNAUTHORIZED ACCESS : SPACE (Count 2),1
COMPLAINT : NEIGHBOR,2
ASSIST,7
ASSIST : POLICE,1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ALCOHOL VIOLATION : ALCOHOLIC BEVERAGE IN PUBLIC",1
ALARMS : FIRE SYSTEM : FIRE,6
ANIMAL : RUNNING AT LARGE,3
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ALCOHOL VIOLATION",1
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY : ILLEGAL DRUG VIOLATIONS : DRUG PARAPHERNALIA",1
PUBLIC NUISANCE,2
MAINTENANCE ELEVATOR : MALFUNCTION,2
DISBTURBANCE : PHYSICAL,1
COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.42 TOBACCO-FREE POLICY,1
ASSIST : VIDEO REQUEST,2
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 1)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 10)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 11)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 12)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 2)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 3)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 4)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 5)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 6)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 7)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 8)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC (Count 9)",1
"COLLEGE POLICY VIOLATION : COMMUNITY RESPONSIBILITIES : 4.6 EXPECTATIONS DURING THE COVID-19 
PANDEMIC",12
SUSPICIOUS ACTIVITY : 911 HANG UP,2
COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS,5
CCM,7
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS,11
CCM : ISOLATION,3
COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.25 IDENTIFICATION,1
SUSPICIOUS ACTIVITY : PERSON (Count 1),1
SUSPICIOUS ACTIVITY : PERSON (Count 2),1
CCM : SELF ISOLATION,10
PROPERTY : RECOVERED (Count 1),1
PROPERTY : RECOVERED (Count 2),1
INVESTIGATION/FOLLOW UP,1
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES,1
DRILL : FIRE,19
DISORDERLY CONDUCT,2
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS (Count 1),2
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS (Count 2),2
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS (Count 3),2
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS (Count 4),2
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS (Count 5),2
"COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.13 ROOM INVENTORY CONTRACTS AND 
DAMAGES",2
ACCIDENT : PERSONAL INJURY,1
CCM : TRANSFER,4
MAINTENANCE ELEVATOR,1
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.06 GUESTS (Count 6),1
