Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
MAINTENANCE : ROUTINE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/10/2020,05:22 PM,MAC-20-0002,Public Safety received a report about a maintenance issue in a residential building.,1/10/2020 05:22 PM and 1/10/2020 06:15 PM,,CLOSED
PROPERTY : FOUND,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,1/10/2020,09:55 PM,MAC-20-0014,Public Safety received found property.,1/10/2020 09:00 PM and 1/11/2020 09:55 PM,,CLOSED
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,1/12/2020,11:24 PM,MAC-20-0015,Dupre trouble alarm.,1/12/2020 11:24 PM and 1/12/2020 11:34 PM,,CLEARED SERVICE COMPLETE
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,1/13/2020,11:00 AM,MAC-20-0016,Public Safety Responded to a Fire Panel Trouble-Dirty Detector replaced,1/13/2020 11:10 AM and 1/13/2020 11:20 AM,,CLEARED SERVICE COMPLETE
ALARMS : EMERGENCY ALARM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,1/13/2020,01:00 PM,MAC-20-0019,Public Safety responded to a duress alarm from an administrative building.  Accidental activation.,1/13/2020 01:00 PM and 1/13/2020 01:45 PM,,FALSE ALARM
MAINTENANCE : EMERGENCY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,1/13/2020,05:00 PM,MAC-20-0017,Macalester College Public Safety responded to a maintenance issue in residential hall.,1/13/2020 05:00 PM and 1/13/2020 05:20 PM,,CLEARED SERVICE COMPLETE
WELFARE CHECK,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GEORGE DAYTON DRAPER HALL,1/13/2020,06:08 PM,MAC-20-0018,Macalester College Public Safety responded to a welfare check for a child at George Dayton Draper Hall.,1/13/2020 05:40 PM and 1/13/2020 06:25 PM,,CLOSED
ALARMS : EMERGENCY ALARM,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,1/15/2020,04:45 PM,MAC-20-0020,Public Safety responded to an emergency alarm. No emergency present.,1/15/2020 04:45 PM and 1/15/2020 05:00 PM,,FALSE ALARM
MAINTENANCE ELEVATOR : OUT OF SERVICE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/16/2020,04:15 PM,MAC-20-0021,Public Safety received a report of an elevator malfunction in a residential hall.,1/16/2020 04:15 PM and 1/16/2020 04:30 PM,,REFERRED TO OTHER AGENCY
PROPERTY : MISSING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,1/17/2020,08:10 AM,MAC-20-0022,Public Safety responded to a report of a missing laptop computer from an administrative building.  Laptop later recovered.,1/16/2020 05:00 PM and 1/17/2020 08:00 AM,,CLOSED
ALARMS : AED CABINET,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/18/2020,12:25 AM,MAC-20-0023,AED alarm in Turck Hall.,1/18/2020 12:25 AM and 1/18/2020 12:30 AM,,FALSE ALARM
PROPERTY : FOUND,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,1/18/2020,03:00 PM,MAC-20-0024,Macalester College Public Safety recovered and attempted to return a students wallet.,1/18/2020 03:00 PM and 1/18/2020 03:20 PM,,CLEARED SERVICE COMPLETE
MAINTENANCE : EMERGENCY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 57 MAC,1/20/2020,09:35 AM,MAC-20-0025,Public Safety Responded to a low temperature alarm-less than 50 degrees in housing unit.,1/20/2020 09:40 AM and 1/20/2020 10:07 AM,,REFERRED TO OTHER DEPARTMENT
MAINTENANCE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/20/2020,12:01 PM,MAC-20-0026,Public Safety was contacted regarding an mechanical issue with bed,1/20/2020 12:01 PM and 1/20/2020 12:01 PM,,REFERRED TO OTHER DEPARTMENT
MAINTENANCE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : SUMMIT HOUSE,1/20/2020,12:56 PM,MAC-20-0027,Public Safety was notified of a plumbing issue in basement bathroom-contacted Custodial.,1/20/2020 01:05 PM and 1/20/2020 01:15 PM,,REFERRED TO OTHER DEPARTMENT
ASSIST : COLLEGE STUDENT,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,1/20/2020,03:45 PM,MAC-20-0029,Macalester College Public Safety assisted student in contacting Resident Life Employees for early check in.,1/20/2020 04:15 PM and 1/20/2020 04:15 PM,,REFERRED TO RESIDENTIAL LIFE
ASSIST : COLLEGE EMPLOYEE,HIGHWINDS PROPERTY,1/20/2020,04:14 PM,MAC-20-0028,Macalester College Public Safety assisted with a maintenance issue at a Highwinds  property near campus.,1/20/2020 04:14 PM and 1/20/2020 04:25 PM,,CLEARED SERVICE COMPLETE
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,1/21/2020,02:45 AM,MAC-20-0031,Reported to fire panel trouble alarm in Doty Hall.,1/21/2020 02:45 AM and 1/21/2020 02:45 AM,,
PROPERTY : RECOVERED,MACALESTER CAMPUS : PARKING,1/21/2020,06:40 PM,MAC-20-0032,Macalester College Public Safety received found property.,1/21/2020 06:40 PM and 1/21/2020 06:40 PM,,CLOSED
ALARMS : EMERGENCY ALARM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : KAGIN COMMONS,1/22/2020,10:28 AM,MAC-20-0033,Public Safety responded to an emergency alarm in an administrative building.  Accidental activation. No emergency.,1/22/2020 10:28 AM and 1/22/2020 10:35 AM,,FALSE ALARM
PROPERTY : MISSING,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,1/22/2020,12:30 PM,MAC-20-0041,Public Safety was notified of lost property at an athletics facility.,1/23/2020 02:45 PM and 1/23/2020 02:45 PM,,CLOSED
ALARMS : EMERGENCY ALARM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : KAGIN COMMONS,1/22/2020,03:00 PM,MAC-20-0035,Macalester College Public Safety responded to elevator call for help alarm.,1/22/2020 03:00 PM and 1/22/2020 03:10 PM,,FALSE ALARM
MAINTENANCE : EMERGENCY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 1661-1663 PRINCETON COURT (JAPAN HOUSE),1/22/2020,05:55 PM,MAC-20-0034,Public Safety was notified of a maintenance issue in a residential space.,1/22/2020 05:55 PM and 1/22/2020 06:05 PM,,REFERRED TO OTHER DEPARTMENT
ALARMS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,1/22/2020,10:00 PM,MAC-20-0036,Public Safety responded to an elevator alarm. No emergency found.,1/22/2020 10:00 PM and 1/22/2020 10:05 PM,,FALSE ALARM
MAINTENANCE : ROUTINE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 30 MAC,1/22/2020,10:30 PM,MAC-20-0037,Public Safety responded to a report of a maintenance issue in a residential hall.,1/22/2020 12:00 AM and 1/22/2020 10:45 PM,,CLEARED SERVICE COMPLETE
ASSIST : COLLEGE INVESTIGATION,MACALESTER CAMPUS,1/23/2020,08:38 AM,MAC-20-0038,Assist with college investigation.,UNKNOWN and UNKNOWN,,CLEARED SERVICE COMPLETE
LOITERING,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL,1/24/2020,06:02 AM,MAC-20-0040,"Public Safety responded to a report of a suspicious person.  Person contacted, advised and sent.",UNKNOWN and UNKNOWN,,ADVISED AND SENT
ALARMS : EMERGENCY ALARM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JOAN ADAMS MONDALE HALL OF STUDIO ART,1/24/2020,03:00 PM,MAC-20-0042,Public Safety responded to an elevator emergency alarm. No emergency found.,1/24/2020 03:00 PM and 1/24/2020 03:10 PM,,FALSE ALARM
MAINTENANCE ELEVATOR : OUT OF SERVICE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,1/24/2020,07:00 PM,MAC-20-0043,Public Safety responded to an elevator issue in a residential hall.,1/24/2020 07:00 PM and 1/24/2020 07:30 PM,,REFERRED TO OTHER AGENCY
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY",MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/24/2020,10:05 PM,MAC-20-0044,Public Safety responded to a report of a alcohol policy violation in a residence hall.,1/24/2020 10:05 PM and 1/24/2020 10:25 PM,,CLEARED SERVICE COMPLETE
"COLLEGE POLICY VIOLATION : CAMPUS POLICIES AND PROTOCOLS : 5.01 ALCOHOL AND ILLEGAL DRUGS 
POLICY",MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/24/2020,10:30 PM,MAC-20-0046,Public Safety responded to a report of a policy violation.,1/24/2020 10:30 PM and 1/24/2020 10:45 PM,,CLEARED SERVICE COMPLETE
MEDICAL EMERGENCY : INURY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,1/25/2020,12:20 AM,MAC-20-0047,Public Safety received a call about a request for non-emergency medical assistance.,1/25/2020 12:20 AM and 1/25/2020 01:35 AM,,CLEARED NO SERVICE
SUSPICIOUS ACTIVITY : PERSON,MACALESTER CAMPUS : EXTERIOR SPACES : GREAT LAWN,1/25/2020,04:20 AM,MAC-20-0048,Public Safety observed suspicious activity.,1/25/2020 04:20 AM and 1/25/2020 04:25 AM,,ADVISED
ALARMS : FIRE SYSTEM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,1/25/2020,10:35 AM,MAC-20-0049,Public Safety responded to a fire alarm at a residential hall.  No smoke or fire.  False alarm.,1/25/2020 10:35 AM and 1/25/2020 10:55 AM,,FALSE ALARM
COLLEGE POLICY VIOLATION : RESIDENCE HALL POLICIES : 6.15 TOBACCO USE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : KIRK HALL,1/25/2020,11:49 AM,MAC-20-0050,Public Safety responded to a suspected policy violation in a residential hall.,1/25/2020 11:49 AM and 1/25/2020 12:05 PM,,CLOSED
MAINTENANCE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : SUMMIT HOUSE,1/25/2020,07:00 PM,MAC-20-0045,Public Safety received a call about a maintenance issue in a residence hall.,1/25/2020 07:00 PM and 1/25/2020 07:15 PM,,REFERRED TO OTHER DEPARTMENT
ASSIST : COLLEGE STUDENT,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/25/2020,09:37 PM,MAC-20-0051,Macalester Public Safety responded to a report of a student passed out in a dorm room. Incident was revealed to be a false alarm.,1/26/2020 09:37 PM and 1/26/2020 09:45 PM,,CLEARED SERVICE COMPLETE
MEDICAL EMERGENCY : INTOXICATED PERSON,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/26/2020,01:50 AM,MAC-20-0052,Public Safety responded to a medical call in a residence hall.,1/26/2020 01:50 AM and 1/26/2020 02:30 AM,,CLEARED SERVICE COMPLETE
ASSIST : COLLEGE EMPLOYEE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLD MAIN,1/26/2020,12:55 PM,MAC-20-0058,Public Safety responded to an academic building to assist in an Employment Services request.,1/26/2020 12:55 PM and 1/26/2020 01:10 PM,,CLEARED SERVICE COMPLETE
MAINTENANCE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 30 MAC,1/26/2020,02:05 PM,MAC-20-0059,"Public Safety responded to a noise complaint from a residential hall.  Noise was a mechanical maintenance issue.  Addressed by 
engineering",1/26/2020 02:05 PM and 1/26/2020 02:40 PM,,REFERRED TO OTHER DEPARTMENT
ALARMS : FIRE SYSTEM : SMOKE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 188-190 VERNON STREET (GERMAN HOUSE),1/26/2020,06:32 PM,MAC-20-0056,Macalester Public Safety responded to a fire alarm at 190 Vernon Street. False Alarm.,1/26/2020 06:32 PM and 1/26/2020 06:48 PM,,FALSE ALARM
ALARMS : FIRE SYSTEM : SMOKE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 188-190 VERNON STREET (GERMAN HOUSE),1/26/2020,06:40 PM,MAC-20-0053,Macalester College Public Safety responded to a smoke alarm.,1/26/2020 06:40 PM and 1/26/2020 06:55 PM,,CLEARED SERVICE COMPLETE
ASSIST : COLLEGE EMPLOYEE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLD MAIN,1/26/2020,07:15 PM,MAC-20-0055,Macalester College Public Safety assisted Macalester College employee with investigation.,1/26/2020 07:15 PM and 1/26/2020 07:25 PM,,ADVISED
WELFARE CHECK,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,1/26/2020,10:30 PM,MAC-20-0057,Macalester College Public Safety responded to a welfare check of student.,1/26/2020 10:30 PM and 1/26/2020 11:10 PM,,REFERRED TO RESIDENTIAL LIFE
MAINTENANCE ELEVATOR : OUT OF SERVICE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,1/27/2020,08:00 AM,MAC-20-0060,"Public Safety was notified of an elevator out of service with no entrapment.  Notified Facilities Services via Work Order to have 
machine serviced.",1/27/2020 08:00 AM and 1/27/2020 08:00 AM,,REFERRED TO OTHER DEPARTMENT
INFORMATION ONLY,MACALESTER CAMPUS,1/27/2020,02:05 PM,MAC-20-0061,Student reported potential safety concerns due previous threats-no current threats at this time.,1/27/2020 02:05 PM and 1/27/2020 02:05 PM,,
ALARMS : EMERGENCY ALARM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,1/27/2020,02:30 PM,MAC-20-0062,Public Safety responded to a Trouble Alarm at an administrative building.  Duress alarm--accidental activation.,1/27/2020 02:30 PM and 1/27/2020 02:35 PM,,FALSE ALARM
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 188-190 VERNON STREET (GERMAN HOUSE),1/27/2020,04:00 PM,MAC-20-0063,Macalester College Public Safety responded to a smoke alarm.,1/27/2020 04:00 PM and 1/27/2020 04:15 PM,,CLOSED
ALARMS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,1/28/2020,11:18 PM,MAC-20-0064,Public Safety responded to an elevator alarm. No emergency found.,1/28/2020 11:18 PM and 1/28/2020 11:25 PM,,FALSE ALARM
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,1/29/2020,11:12 AM,MAC-20-0065,It was reported to Public Safety that a bike had been taken from the bike racks.,12/29/2019 07:36 AM and 12/29/2020 11:25 AM,,
ALARMS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JOAN ADAMS MONDALE HALL OF STUDIO ART,1/29/2020,04:10 PM,MAC-20-0066,Macalester College Public Safety responded to elevator emergency alarm.,1/29/2020 04:10 PM and 1/29/2020 04:15 PM,,FALSE ALARM
INAPPROPRIATE COMMUNICATIONS : VERBAL,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,1/29/2020,04:30 PM,MAC-20-0067,Public Safety received a report of a student being threatened on campus.,1/28/2020 02:00 PM and 1/29/2020 05:00 PM,,CLOSED
ALARMS : FIRE SYSTEM : SMOKE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : PRESIDENTS HOME,1/29/2020,06:10 PM,MAC-20-0068,Macalester College Public Safety responded to smoke alarm.,1/29/2020 06:10 PM and 1/29/2020 06:15 PM,,FALSE ALARM
MEDICAL EMERGENCY : INURY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,1/29/2020,09:15 PM,MAC-20-0069,Public Safety responded to a non-emergency medical situation.,1/29/2020 09:15 PM and 1/29/2020 09:30 PM,,CLEARED SERVICE COMPLETE
SUSPICIOUS ACTIVITY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 196 VERNON STREET (SPANISH HOUSE),1/31/2020,08:45 AM,MAC-20-0070,Public Safety received notice of suspicious activity in a student house.,1/31/2020 08:45 AM and 1/31/2020 08:45 AM,,CLEARED SERVICE COMPLETE
WELFARE CHECK,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 188-190 VERNON STREET (GERMAN HOUSE),1/31/2020,05:00 PM,MAC-20-0071,Public Safety received a call concerning the well being of a student.,1/31/2020 05:00 PM and 1/31/2020 05:45 PM,,CLOSED
MEDICAL EMERGENCY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,2/1/2020,01:20 AM,MAC-20-0073,Public Safety responded to a medical in a residence hall.,2/1/2020 01:20 AM and 2/1/2020 02:50 AM,,NOT TRANSPORTED
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,2/1/2020,05:45 AM,MAC-20-0076,Public Safety responded to a fire system alarm in the residence hall.,2/1/2020 06:10 AM and 2/1/2020 06:10 AM,,CLOSED
ASSIST : COLLEGE STUDENT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,2/1/2020,07:01 AM,MAC-20-0077,access campus center for student Jason Kohn. MAC EMS class.,2/1/2020 07:01 AM and 2/1/2020 07:10 AM,,CLOSED
MEDICAL EMERGENCY : ILLNESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : KAGIN COMMONS,2/1/2020,05:17 PM,MAC-20-0078,Public Safety responded to a medical situation on campus.,2/1/2020 05:17 PM and 2/1/2020 05:35 PM,,CLEARED SERVICE COMPLETE
ALARMS : MECHANICAL,HIGHWINDS PROPERTY,2/1/2020,06:50 PM,MAC-20-0079,Public Safety was notified of a trouble alarm in a Highwinds property.,2/1/2020 06:50 PM and 2/1/2020 07:40 PM,,CLEARED NO SERVICE
ALARMS : MECHANICAL,HIGHWINDS PROPERTY,2/2/2020,02:58 AM,MAC-20-0072,Public Safety responded to a trouble alarm on campus property.,2/2/2020 02:58 AM and 2/2/2020 03:10 AM,,CLOSED
ASSIST : COLLEGE STUDENT,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,2/2/2020,03:45 AM,MAC-20-0080,Access student. Wallace dorm room. ID verify by security.,2/2/2020 03:45 AM and 2/2/2020 04:15 AM,,FINAL
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,2/2/2020,08:30 AM,MAC-20-0081,Public Safety responded to a Fire Panel Trouble Alarm from a residence hall.,2/2/2020 08:30 AM and 2/2/2020 10:10 AM,,CLEARED SERVICE COMPLETE
SUSPICIOUS ACTIVITY : PERSON,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,2/3/2020,12:00 AM,MAC-20-0086,Suspicious activity,12/31/2019 12:00 PM and 1/1/2020 12:00 PM,,CLEARED SERVICE COMPLETE
SUSPICIOUS ACTIVITY : PERSON,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,2/3/2020,01:25 PM,MAC-20-0082,Public Safety observed suspicious persons in an Athletics Facility and a parking lot.  Advised and Sent.,2/3/2020 01:25 PM and 2/3/2020 02:22 PM,,ADVISED AND SENT
SUSPICIOUS ACTIVITY : VEHICLE,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,2/3/2020,01:25 PM,MAC-20-0082,Public Safety observed suspicious persons in an Athletics Facility and a parking lot.  Advised and Sent.,2/3/2020 01:25 PM and 2/3/2020 02:22 PM,,ADVISED AND SENT
ALARMS : FIRE SYSTEM : SMOKE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 188-190 VERNON STREET (GERMAN HOUSE),2/4/2020,08:25 AM,MAC-20-0083,Public Safety responded to a Fire Alarm from a student house.  Mild cooking smoke.  No fire.,2/4/2020 08:25 AM and 2/4/2020 08:35 AM,,CLEARED SERVICE COMPLETE
MAINTENANCE : EMERGENCY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,2/4/2020,04:45 PM,MAC-20-0085,Macalester Public Safety responded to a maintenance emergency at Doty Hall.,2/4/2020 04:45 PM and 2/4/2020 06:00 PM,,CLEARED SERVICE COMPLETE
MAINTENANCE : ROUTINE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,2/4/2020,05:30 PM,MAC-20-0084,Macalester College Public Safety notified of toilet issue in residence hall. Custodial services notified.,2/4/2020 05:30 PM and 2/4/2020 05:40 PM,,REFERRED TO OTHER AGENCY
MAINTENANCE : ROUTINE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,2/5/2020,11:05 PM,MAC-20-0087,Public Safety received a call about a maintenance issue in a residence hall.,2/5/2020 11:05 PM and 2/5/2020 11:15 PM,,REFERRED TO OTHER DEPARTMENT
COLLEGE POLICY VIOLATION,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,2/5/2020,11:37 PM,MAC-20-0088,Public Safety responded to a policy violation in a residential hall.,2/5/2020 11:37 PM and 2/5/2020 11:45 PM,,CLOSED
MAINTENANCE : EMERGENCY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 1661-1663 PRINCETON COURT (JAPAN HOUSE),2/6/2020,07:40 AM,MAC-20-0089,Public Safety responded to a maintenance issue.,2/6/2020 07:40 AM and 2/6/2020 07:45 AM,,REFERRED TO OTHER DEPARTMENT
SUSPICIOUS ACTIVITY : PERSON,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,2/6/2020,12:40 PM,MAC-20-0091,Public Safety responded to suspicious activity.,2/6/2020 12:40 PM and 2/6/2020 01:00 PM,,ADVISED AND SENT
SUSPICIOUS ACTIVITY : VEHICLE,MACALESTER CAMPUS : ATHLETIC FACILITIES : STADIUM,2/6/2020,03:00 PM,MAC-20-0092,Public Safety observed an abandoned suspicious vehicle on campus. Towed.,2/6/2020 06:26 AM and 2/6/2020 04:30 PM,,CLEARED SERVICE COMPLETE
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JANET WALLACE FINE ARTS CENTER,2/6/2020,06:30 PM,MAC-20-0093,Public Safety responded to a fire panel trouble alarm in an academic building.,2/6/2020 06:30 PM and 2/6/2020 06:35 PM,,CLOSED
ALARMS : AED CABINET,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : CULTURAL HOUSE,2/6/2020,07:45 PM,MAC-20-0094,"Macalester College Public Safety responded to AED alarm. False Alarm, no emergency.",2/6/2020 07:50 PM and 2/6/2020 07:50 PM,,FALSE ALARM
SUSPICIOUS ACTIVITY : PERSON,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,2/7/2020,07:25 PM,MAC-20-0095,Public Safety received a report of a suspicious person on campus.,2/7/2020 07:25 PM and 2/7/2020 07:50 PM,,CLOSED
DAMAGE TO PROPERTY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,2/8/2020,04:20 AM,MAC-20-0075,Public Safety responded to damage property in a residential hall.,2/8/2020 04:20 AM and 2/8/2020 04:40 AM,,CLOSED
SUSPICIOUS ACTIVITY : VEHICLE,HIGHWINDS PROPERTY,2/8/2020,11:35 AM,MAC-20-0096,"Public Safety responded to a report of a suspicious vehicle left in the driveway of a Macalester property.  Tagged as abandoned 
and towed.",2/8/2020 11:35 AM and 2/8/2020 01:10 PM,,CLEARED SERVICE COMPLETE
