Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : PARKING : WEST 2,11/22/2022,10:00 AM,MAC-22-1260,Public Safety received a report of a damaged motor pool van.,11/21/2022 03:00 PM and 11/22/2022 10:00 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
DISBTURBANCE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,11/19/2022,12:58 AM,MAC-22-1247,Public Safety responded to a disturbance call.,11/19/2022 12:58 AM and 11/19/2022 01:10 AM,,CLOSED.NO FURTHER ACTION
ASSIST : VEHICLE START,ROADWAY : MACALESTER DRIVE,11/14/2022,05:34 PM,MAC-22-1191,Macalester College Public Safety assisted Macalester employee with jumpstarting their vehicle.,11/14/2022 05:34 PM and 11/14/2022 06:00 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 30 MAC,11/14/2022,02:00 PM,MAC-22-1226,Macalester College Public Safety received report from custodial of vandalism in residence hall.,11/14/2022 02:00 PM and 11/14/2022 08:01 PM,,CLOSED.NO FURTHER ACTION
MOTOR VEHICLE CRASH,ROADWAY : GRAND AVENUE,11/14/2022,10:25 AM,MAC-22-1222,Public Safety responded to a report of a motor vehicle accident involving a city bus on a roadway through campus.,11/14/2022 10:25 AM and 11/14/2022 10:45 AM,,CLOSED.REFERRED TO LE
MOTOR VEHICLE CRASH,ROADWAY : MACALESTER STREET,11/14/2022,09:10 AM,MAC-22-1221,Public Safety observed a minor motor vehicle accident on a roadway.,11/14/2022 09:10 AM and 11/14/2022 09:20 AM,,CLOSED.NO FURTHER ACTION
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING : LEONARD CENTER,11/13/2022,06:00 PM,MAC-22-1218,Macalester College Public Safety assisted student by jumpstarting vehicle.,11/13/2022 06:00 PM and 11/13/2022 06:20 PM,,CLOSED.SERVICE COMPLETE
BURGLARY,HIGHWINDS PROPERTY : GRAND AVENUE BUSINESSES : PATAGONIA-1648 GRAND,11/8/2022,02:20 AM,MAC-22-1190,Public Safety responded to a Saint Paul Police presence at a High Winds property.,11/8/2022 02:20 AM and 11/8/2022 03:00 AM,,CLOSED.REFERRED TO LE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,11/4/2022,09:06 AM,MAC-22-1176,Public Safety Received an Online report regarding bike theft.,11/3/2022 12:00 PM and 11/4/2022 12:00 PM,,CLOSED.NO FURTHER ACTION
THEFT : MOTOR VEHICLE PARTS,MACALESTER CAMPUS : PARKING,11/4/2022,09:05 AM,MAC-22-1175,CATALYTIC CONVERTER STOLEN FROM CAR BETWEEN 10/30 TO 11/3,UNKNOWN and UNKNOWN,,
DISBTURBANCE : GROUP,PUBLIC PROPERTY-CLERY,11/2/2022,11:00 PM,MAC-22-1161,Macalester College Public Safety interfered with by group of students while doing duties. Students advised and sent.,11/2/2022 11:00 PM and 11/2/2022 11:45 PM,,CLOSED.SUBJECT ADVISED
ASSIST : VEHICLE START,ROADWAY : LINCOLN AVENUE,10/31/2022,02:15 PM,MAC-22-1154,Macalester College Public Safety performed vehicle jump start for student's vehicle.,10/31/2022 03:01 PM and 10/31/2022 03:01 PM,,CLOSED.SERVICE COMPLETE
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,10/31/2022,12:00 AM,TITLEIX-20221031,Title IX reported rape to Public Safety,10/31/2022 12:00 AM and 10/31/2022 12:00 AM,160,
DANGEROUS WEAPONS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,10/27/2022,02:00 PM,MAC-22-1140,We received report about a dangerous weapon.,10/27/2022 02:04 PM and 10/27/2022 02:04 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,HIGHWINDS PROPERTY : SCOTSDALE (40 SOUTH SNELLING),10/27/2022,01:10 PM,MAC-22-1139,Public Safety observed new graffiti at a High Winds property.,10/27/2022 01:10 PM and 10/27/2022 01:10 PM,,CLOSED.REFERRED TO DEPARTMENT
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,10/26/2022,02:30 AM,MAC-22-1135,Access resident to room.,10/26/2022 02:30 AM and 10/26/2022 02:39 AM,,CLOSED.NO FURTHER ACTION
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,10/26/2022,01:26 AM,MAC-22-1134,Access vendor to academic hall.,10/26/2022 01:26 AM and 10/26/2022 01:35 AM,,CLOSED.NO FURTHER ACTION
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : THEATER AND DANCE BUILDING,10/25/2022,07:34 PM,MAC-22-1130,Access to academic hall.,10/25/2022 07:34 PM and 10/25/2022 07:41 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,10/25/2022,06:32 PM,MAC-22-1129,Access to academic hall.,10/25/2022 06:32 PM and 10/25/2022 06:40 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,10/25/2022,05:04 PM,MAC-22-1128,Access to academic hall.,10/25/2022 05:04 PM and 10/25/2022 05:06 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GEORGE DAYTON DRAPER HALL,10/25/2022,03:44 PM,MAC-22-1127,Access to residence hall.,10/25/2022 03:44 PM and 10/25/2022 03:55 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : STADIUM RESIDENCE HALL,10/25/2022,01:58 PM,MAC-22-1126,Access into academic hall.,10/25/2022 01:58 PM and 10/25/2022 02:05 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,10/25/2022,02:00 AM,MAC-22-1123,Access into academic hall.  Work order # T2210-1039 has been submitted.,10/25/2022 02:00 AM and 10/25/2022 02:05 AM,,CLOSED.NO FURTHER ACTION
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,10/24/2022,08:54 PM,MAC-22-1122,Access into academic hall.,10/24/2022 08:54 PM and 10/24/2022 08:55 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS,10/24/2022,08:47 PM,MAC-22-1121,Access into academic hall.,10/24/2022 08:47 PM and 10/24/2022 08:52 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER HALL,10/24/2022,06:34 PM,MAC-22-1120,Access into academic building.,10/24/2022 06:34 PM and 10/24/2022 06:38 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,10/24/2022,02:35 PM,MAC-22-1119,Access into the Radio station.,10/24/2022 02:35 PM and 10/24/2022 02:43 PM,,CLOSED.SERVICE COMPLETE
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : KIRK HALL,10/23/2022,07:49 PM,MAC-22-1118,Access Resident to room,10/23/2022 07:54 PM and 10/23/2022 07:56 PM,,
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,10/23/2022,06:26 PM,MAC-22-1117,Access resident to room,10/23/2022 06:35 PM and 10/23/2022 06:48 PM,,
ACCESS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,10/23/2022,06:04 PM,MAC-22-1116,Access resident to room,10/23/2022 06:10 PM and 10/23/2022 06:24 PM,,
THEFT : MOTOR VEHICLE PARTS,MACALESTER CAMPUS : PARKING : WEST 2,10/18/2022,01:52 PM,MAC-22-1100,Public Safety took a report of Theft of Auto Parts from a campus lot.,10/15/2022 05:00 PM and 10/18/2022 11:00 AM,,OPEN CASE
FIRE : SMOKE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 216 VERNON STREET (CHINESE HOUSE),10/16/2022,05:15 PM,MAC-22-1089,Public Safety responded to a smoke-alarm via radio.,10/16/2022 05:15 PM and 10/16/2022 05:20 PM,,CLOSED.SERVICE COMPLETE
ASSIST : VEHICLE START,ROADWAY : SUMMIT AVENUE,10/15/2022,08:45 PM,MAC-22-1087,Public Safety assisted in jump starting a vehicle.,10/15/2022 08:45 PM and 10/15/2022 08:55 PM,,CLOSED.SERVICE COMPLETE
ASSIST : VEHICLE LOCKOUT,ROADWAY,10/15/2022,05:15 PM,MAC-22-1085,Public Safety assisted with a vehicle lockout.,10/15/2022 05:15 PM and 10/15/2022 05:30 PM,,CLOSED.SERVICE COMPLETE
Stalking,HOUSING AND RESIDENCE HALL,10/14/2022,12:00 AM,TITLEIX-20221014,Title IX reported stalking to Public Safety,10/14/2022 12:00 AM and 10/14/2022 12:00 AM,159,
ASSIST : VEHICLE LOCKOUT,ROADWAY : SUMMIT AVENUE,10/13/2022,02:45 PM,MAC-22-1077,Public Safety assisted with a vehicle lockout.,10/13/2022 02:45 PM and 10/13/2022 03:00 PM,,CLOSED.SERVICE COMPLETE
THEFT : FROM MOTOR VEHICLE,OFF CAMPUS (NON-CLERY),10/12/2022,10:00 PM,MAC-22-1074,Public Safety was made aware of a vehicle break-in that had occurred off campus.,10/13/2022 12:00 PM and 10/13/2022 12:00 PM,,CLOSED.NO FURTHER ACTION
HARASSMENT,OFF CAMPUS (NON-CLERY),10/11/2022,11:43 AM,MAC-22-1069,Student Safety Concern,UNKNOWN and UNKNOWN,,
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : WALLACE HALL,10/10/2022,04:40 PM,MAC-22-1065,Macalester College Public Safety received online report of theft of bike tire.,10/10/2022 03:40 AM and 10/10/2022 04:00 AM,,CLOSED.SUBJECT ADVISED
ASSIST : VEHICLE LOCKOUT,MACALESTER CAMPUS : PARKING : LEONARD CENTER,10/9/2022,08:30 PM,MAC-22-1061,Macalester College Public Safety assisted with vehicle lockout.,10/9/2022 09:00 PM and 10/9/2022 09:09 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES,10/8/2022,02:35 PM,MAC-22-1059,Macalester College Public Safety received online report of bicycle parts stolen.,10/8/2022 02:35 PM and 10/10/2022 04:37 PM,,OPEN CASE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,10/7/2022,03:22 PM,MAC-22-1057,Macalester College Public Safety received online report of a bicycle theft.,10/5/2022 05:00 PM and 10/5/2022 05:00 PM,,CLOSED.SUBJECT ADVISED
THREATS,OFF CAMPUS (NON-CLERY),10/6/2022,10:00 AM,MAC-22-1052,Public Safety received a report of a student receiving threats via social media.,9/9/2022 10:00 AM and 10/6/2022 10:00 AM,,CLOSED.NO FURTHER ACTION
BURGLARY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL,10/6/2022,03:35 AM,MAC-22-1050,Public Safety observed a damaged property.,10/6/2022 03:35 AM and 10/6/2022 03:38 AM,,CLOSED
DAMAGE TO PROPERTY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL,10/6/2022,03:35 AM,MAC-22-1050,Public Safety observed a damaged property.,10/6/2022 03:35 AM and 10/6/2022 03:38 AM,,CLOSED.REFERRED TO DEPARTMENT
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,10/5/2022,05:00 PM,MAC-22-1063,Public Safety received report of a bike theft.,10/5/2022 05:00 PM and 10/5/2022 05:00 PM,,CLOSED.NO FURTHER ACTION
THEFT : MOTOR VEHICLE PARTS,MACALESTER CAMPUS : PARKING : WEST 2,10/5/2022,03:38 AM,MAC-22-1046,Public Safety observed a theft on a motor vehicle part.,10/5/2022 03:38 AM and 10/5/2022 04:18 AM,,CLOSED.NO SERVICE
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,10/4/2022,12:00 AM,TITLEIX-20221004,Title IX Reported rape and dating violence to Public Safety,10/4/2022 12:00 AM and 10/4/2022 12:00 AM,158,
DISBTURBANCE : GROUP,OFF CAMPUS (NON-CLERY),10/3/2022,02:10 PM,MAC-22-1036,Online report of disturbance at off campus residence.,9/24/2022 10:00 PM and 9/25/2022 02:00 AM,,
THEFT,HIGHWINDS PROPERTY : HIGH WINDS HOUSES : 1657 LINCOLN,10/3/2022,01:44 PM,MAC-22-1035,Shelving from rear of house,10/1/2022 12:00 PM and 10/2/2022 12:00 PM,,CLOSED.NO FURTHER ACTION
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,10/1/2022,09:35 PM,MAC-22-1030,Public Safety received a report of a stolen bike.,10/1/2022 05:00 PM and 10/1/2022 09:35 PM,,
THEFT : FROM BUILDING/STRUCTURE,HIGHWINDS PROPERTY : HIGH WINDS HOUSES : 1657 LINCOLN,10/1/2022,12:01 AM,MAC-22-1066,Public Safety received report of theft.,10/1/2022 12:01 AM and 10/2/2022 12:01 AM,,CLOSED.NO FURTHER ACTION
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING,9/28/2022,03:21 PM,MAC-22-1015,Public Safety assist with vehicle jump start.,9/28/2022 03:21 PM and 9/28/2022 03:28 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY,MACALESTER CAMPUS,9/28/2022,03:12 AM,MAC-22-1014,Observed a damage on Public Safety vehicle.,9/28/2022 03:12 AM and 9/28/2022 03:13 AM,,CLOSED.NO FURTHER ACTION
OFFENSIVE ACTION : WRITING/DRAWING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,9/28/2022,01:04 AM,MAC-22-1013,Public Safety observed a offensive of writing.,9/28/2022 01:04 AM and 9/28/2022 01:05 AM,,CLOSED.SERVICE COMPLETE
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING : VISITOR 1,9/27/2022,02:00 PM,MAC-22-1009,Macalester College Public Safety received report of vehicle broken into.,9/27/2022 02:00 PM and 9/27/2022 02:54 PM,,CLOSED.SUBJECT ADVISED
SEXUAL ASSAULT : FONDLING,OFF CAMPUS (NON-CLERY),9/24/2022,11:30 PM,MAC-22-1002,Macalester College Public Safety received report of student victim to sexual assault.,9/24/2022 11:30 PM and 9/25/2022 01:04 AM,,CLOSED.REFERRED TO LE
,TURCK HALL,9/24/2022,11:00 PM,22179079,"OTHER SEX OFFSE
1605 GRAND AV",9/24/2022 11:00 PM and UNKNOWN,147,
THEFT : MOTOR VEHICLE PARTS,ROADWAY : MACALESTER STREET,9/24/2022,08:47 AM,MAC-22-1007,Public Safety was dispatched to assist Saint Paul Police with and theft from motor vehicle investigation.,9/24/2022 08:47 AM and 9/24/2022 09:15 AM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,9/21/2022,05:42 PM,MAC-22-0984,STOLEN BUKE FROM LC WEDNESDAY NIGHT. TREK WHITE AND BLUE ROAD BIKE,9/20/2022 12:00 PM and 9/21/2022 12:00 PM,,CLOSED.NO FURTHER ACTION
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,9/21/2022,04:15 PM,MAC-22-0985,Public Safety received a report of a stolen bike.,9/3/2022 01:30 PM and 9/15/2022 05:00 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : CRIMINAL,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/21/2022,02:59 PM,MAC-22-0981,Public Safety received an online report about property damage and attempted theft.,9/21/2022 03:00 PM and 9/21/2022 03:01 PM,,
MOTOR VEHICLE THEFT,1676 GRAND AV,9/21/2022,12:00 PM,22176348,"AUTO THEFT
1676 GRAND AV",9/21/2022 12:00 PM and UNKNOWN,152,
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,9/21/2022,11:00 AM,MAC-22-0988,Public Safety received report of a bike theft.,9/20/2022 06:00 PM and 9/21/2022 11:00 AM,,CLOSED.NO FURTHER ACTION
DAMAGE TO PROPERTY,MACALESTER CAMPUS,9/20/2022,09:45 AM,MAC-22-0977,Public Safety officer responded to a damage to property report.  Damaged bike lock and cable recovered.,UNKNOWN and UNKNOWN,,CLOSED
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,9/17/2022,07:15 PM,MAC-22-0967,Public Safety responded to a graffiti report in a residence hall.,9/17/2022 07:15 PM and 9/17/2022 07:25 PM,,CLOSED.SERVICE COMPLETE
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,9/16/2022,03:26 PM,MAC-22-0959,Public Safety received an online report about a possible theft on campus.,9/8/2022 04:45 AM and 9/8/2022 06:45 AM,,OPEN CASE
THEFT : MOTOR VEHICLE PARTS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : CULTURAL HOUSE,9/11/2022,06:00 PM,MAC-22-0929,Public Safety received a report of a catalytic converter theft.  From a parking lot on Campus,9/11/2022 06:00 PM and 9/11/2022 06:30 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/10/2022,07:00 PM,MAC-22-0927,Public Safety received a report of a bicycle theft,9/10/2022 07:00 PM and 9/10/2022 07:00 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : CAMPUS CENTER,9/9/2022,11:21 AM,MAC-22-0925,Public Safety received a report of a bicycle theft,9/9/2022 12:00 AM and 9/11/2022 11:30 AM,,PENDING
DAMAGE TO PROPERTY : CRIMINAL,NON-CAMPUS (CLERY GEOGRAPHY),9/9/2022,02:34 AM,MAC-22-0917,Public Safety Observed property damaged.,9/9/2022 02:34 AM and 9/9/2022 03:00 AM,,CLOSED.NO FURTHER ACTION
DAMAGE TO PROPERTY : CRIMINAL,NON-CAMPUS (CLERY GEOGRAPHY),9/9/2022,02:13 AM,MAC-22-0916,Public Safety observed possible property damaged,9/9/2022 02:13 AM and 9/9/2022 02:30 AM,,CLOSED.NO SUSPECT OR WITNESS
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/8/2022,03:30 PM,MAC-22-0914,Public Safety responded to a theft report.,9/8/2022 03:30 PM and 9/8/2022 03:38 PM,,
ALARMS : FREEZER ALARM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,9/7/2022,06:45 PM,MAC-22-0913,Public Safety responded to a alarm in the Academic building.,9/7/2022 06:45 PM and 9/7/2022 06:57 PM,,
LOITERING,HIGHWINDS PROPERTY : SCOTSDALE (40 SOUTH SNELLING),9/6/2022,11:05 PM,MAC-22-0909,Public Safety advised/sent a unwanted person.,9/6/2022 11:05 PM and 9/6/2022 11:08 PM,,CLOSED.SUBJECT ADVISED
MOTOR VEHICLE CRASH,HIGHWINDS PROPERTY : SCOTSDALE (40 SOUTH SNELLING) : JAMBA JUICE-1577 GRAND,9/6/2022,03:20 PM,MAC-23-0012,Public Safety conducted a follow up on a victim that was involved in a hit and run.,9/6/2022 03:20 PM and 1/11/2023 02:45 PM,,CLOSED
BIAS INCIDENT,ROADWAY : GRAND AVENUE,9/6/2022,11:55 AM,MAC-22-0904,Public Safety responded to a report of sexuality biased graffiti on city property  adjacent to campus.  Graffiti removed.,9/6/2022 11:55 AM and 9/6/2022 12:00 PM,,CLOSED.NO FURTHER ACTION
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : EXTERIOR SPACES,9/6/2022,09:35 AM,MAC-22-0910,Public Safety received a report of a motor vehicle accident that had occurred on campus the previous day.,9/6/2022 09:35 AM and 9/6/2022 09:40 AM,,CLOSED.REFERRED TO DEPARTMENT
DAMAGE TO PROPERTY : CRIMINAL,NON-CAMPUS (CLERY GEOGRAPHY),9/4/2022,01:51 PM,MAC-22-0898,Public Safety observed a vehicle with broken window.,UNKNOWN and UNKNOWN,,CLOSED.NO FURTHER ACTION
STALKING,MACALESTER CAMPUS : EXTERIOR SPACES,9/4/2022,02:15 AM,MAC-22-0911,Public Safety received a report of assault with a dangerous weapon that had occurred on campus grounds.,9/4/2022 02:15 AM and 9/4/2022 02:30 AM,,"CLOSED.REFERRED TO TITLE IX 
OFFICE"
ASSAULT : WITH DANGEROUS WEAPONS,MACALESTER CAMPUS : EXTERIOR SPACES,9/4/2022,02:15 AM,MAC-22-0911,Public Safety received a report of assault with a dangerous weapon that had occurred on campus grounds.,9/4/2022 02:15 AM and 9/4/2022 02:30 AM,,"CLOSED.REFERRED TO TITLE IX 
OFFICE"
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM (Count 1),MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/2/2022,08:50 AM,MAC-22-0891,Public Safety observed new graffiti outside of a residence hall.  Submitted a Work Order for its removal.,9/2/2022 08:50 AM and 9/2/2022 08:50 AM,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM (Count 2),MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/2/2022,08:50 AM,MAC-22-0891,Public Safety observed new graffiti outside of a residence hall.  Submitted a Work Order for its removal.,9/2/2022 08:50 AM and 9/2/2022 08:50 AM,,CLOSED
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,9/1/2022,04:05 AM,MAC-22-0883,Public Safety observed graffiti on campus property. Work order submitted.,9/1/2022 04:05 AM and 9/1/2022 04:15 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : CAMPUS CENTER,8/31/2022,03:15 PM,MAC-22-0879,Public Safety responded to a property assist report. Recovered property and SPPD contacted.,8/31/2022 03:15 PM and 8/31/2022 06:30 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : EXTERIOR SPACES,8/29/2022,05:38 AM,MAC-22-0873,Public Safety Officer observed damage to property. Accidental.,UNKNOWN and UNKNOWN,,CLOSED
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,8/28/2022,01:06 AM,MAC-22-0863,Public Safety responded to a report of a graffiti in a residence hall.,8/28/2022 01:06 AM and 8/28/2022 01:14 AM,,CLOSED.SERVICE COMPLETE
