Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : SOUTH PARKING,12/5/2019,11:55 AM,MAC-19-0766,Public Safety observed damage to a Macalester-leased van.,12/5/2019 11:55 AM and 12/5/2019 11:55 AM,,PENDING
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,12/4/2019,10:40 AM,MAC-19-0762,Public Safety was notified of a theft.,UNKNOWN and UNKNOWN,,CLOSED
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,12/3/2019,04:30 PM,MAC-19-0763,Public Safety was informed that 2 speakers had been removed from a classroom.,9/1/2019 12:00 AM and 12/3/2019 01:00 PM,,CLOSED
ROBBERY,CAMBRIDGE ST  & GRAND,12/2/2019,08:00 PM,19268465,Annual Clery request-pending DPR,12/2/2019 08:00 PM and 12/2/2019 08:00 PM,118,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS,11/25/2019,05:10 PM,MAC-19-0745,Public Safety was notified and is investigating suspicious activity,11/25/2019 12:00 AM and 11/25/2019 12:30 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,11/24/2019,02:26 AM,MAC-19-0735,Public Safety responded to a bicycle theft.,11/24/2019 02:26 AM and 11/24/2019 02:42 AM,,CLOSED
INFORMATION ONLY,MACALESTER CAMPUS,11/20/2019,06:30 AM,MAC-19-0759,Public Safety was notified of suspicious activity.,11/20/2019 06:30 AM and 11/20/2019 06:30 AM,,CLOSED
LOITERING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,11/18/2019,01:50 AM,MAC-19-0715,Trespassed loiterer.,11/18/2019 01:50 AM and 11/18/2019 03:27 AM,,TRESPASSED
TRESPASS : CRIMINAL ARREST,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,11/18/2019,01:50 AM,MAC-19-0715,Trespassed loiterer.,11/18/2019 01:50 AM and 11/18/2019 03:27 AM,,ARRESTED
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : WEST 2,11/15/2019,12:45 PM,MAC-19-0708,Public Safety responded to a motor vehicle crash in West #2.,11/15/2019 12:50 PM and 11/15/2019 01:25 PM,,CLOSED
THEFT,OFF CAMPUS (NON-CLERY),11/14/2019,07:48 AM,MAC-19-0702,Public Safety was notified that a college owned laptop was taken from a vehicle.,UNKNOWN and UNKNOWN,,REFERRED TO OTHER AGENCY
LOITERING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : LAMPERT BUILDING,11/12/2019,09:50 PM,MAC-19-0698,Public Safety responded to a report of a loiterer in an administrative building.  Contacted and advised and sent.,11/12/2019 09:50 PM and 11/12/2019 09:59 PM,,ADVISED AND SENT
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : KIRK,11/8/2019,12:00 AM,MAC-19-0724,Public Safety received a stolen bike report.,10/27/2019 12:00 AM and 11/8/2019 04:00 PM,,CLOSED
DISBTURBANCE : VERBAL,MACALESTER CAMPUS : PARKING : MACALESTER PLYMOUTH UNITED CHURCH,11/6/2019,01:53 PM,MAC-19-0679,Public Safety responded to a disturbance in the Macalester Plymouth United Church parking lot,11/6/2019 01:53 PM and 11/6/2019 02:30 PM,,CLOSED
LOITERING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,11/5/2019,04:50 PM,MAC-19-0675,Public Safety responded to a report of a loiterer in an administrative building.  Subject advised and sent.,11/5/2019 04:50 PM and 11/5/2019 05:05 PM,,ADVISED AND SENT
DISBTURBANCE : VERBAL,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,11/5/2019,03:40 PM,MAC-19-0674,Public Safety Responded to complaint of student being verbally aggressive towards faculty.,11/5/2019 03:43 PM and 11/5/2019 05:00 PM,,REFERRED TO OTHER DEPARTMENT
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,11/5/2019,02:22 PM,MAC-19-0673,Note taped to picture of Neil in Neil Hall.,11/5/2019 02:22 PM and 11/5/2019 02:25 PM,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : KIRK,10/28/2019,08:34 AM,MAC-19-0652,Kirk bike racks: Two tires stolen from Schwinn bike.,10/28/2019 08:45 AM and 10/28/2019 08:45 AM,,
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING : LEONARD CENTER,10/23/2019,10:05 PM,MAC-19-0638,Security responded to a theft from a motor vehicle.,10/23/2019 08:30 PM and 10/23/2019 10:30 PM,,REFERRED TO OTHER AGENCY
FRAUD,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,10/21/2019,08:04 PM,MAC-19-0636,Public Safety responded to a theft report,10/21/2019 07:52 PM and 10/21/2019 08:00 PM,,REFERRED TO OTHER AGENCY
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,10/21/2019,08:04 PM,MAC-19-0636,Public Safety responded to a theft report,10/21/2019 07:52 PM and 10/21/2019 08:00 PM,,REFERRED TO OTHER AGENCY
DISBTURBANCE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,10/20/2019,10:15 PM,MAC-19-0633,Public Safety responded to a disruptive person-advised and sent.,10/20/2019 10:15 PM and 10/20/2019 10:30 PM,,ADVISED AND SENT
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,10/20/2019,12:40 AM,MAC-19-0631,Public Safety responded to a report of a stolen bicycle wheel.,10/16/2019 07:40 PM and 10/17/2019 08:20 AM,,CLOSED
BIAS/HATE INCIDENT : SEXUAL ORIENTATION,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,10/11/2019,11:32 AM,MAC-19-0606,Public Safety responded to a bias incident (sexual orientation)-mail received by staff member.,10/11/2019 11:31 AM and 10/11/2019 11:31 AM,,PENDING
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,10/9/2019,04:02 PM,MAC-19-0602,Public Safety investigated a bike theft.,10/8/2019 06:27 PM and 10/8/2019 06:27 PM,,
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,10/9/2019,12:30 PM,MAC-19-0599,Public Safety was notified of a bicycle theft.,10/9/2019 12:30 PM and 10/9/2019 12:40 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,10/8/2019,08:00 PM,MAC-19-0597,Security observed an individual on security camera steal 2 bicycles.,10/8/2019 12:00 AM and 10/8/2019 12:00 AM,,PENDING
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,10/6/2019,12:00 PM,2019-TIX-06,sexual assault (rape); on-campus/housing,10/6/2019 12:00 PM and 10/6/2019 12:00 PM,132,CLOSED
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,10/6/2019,12:00 PM,2019-TIX-07,sexual assault (rape); on-campus/housing,10/6/2019 12:00 PM and 10/6/2019 12:00 PM,133,CLOSED
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL,10/4/2019,08:45 AM,MAC-19-0584,"Non-criminal graffiti: Bathroom mirrors in Bigelow, 30 MAC and Wallace.",10/4/2019 08:45 AM and 10/4/2019 09:00 AM,,CLOSED
DAMAGE TO PROPERTY : CRIMINAL,MACALESTER CAMPUS : PARKING,10/4/2019,07:43 AM,MAC-19-0582,Security responded to a broken car window on student's vehicle.,10/4/2019 07:43 AM and 10/4/2019 08:30 AM,,CLOSED
GRAFFITI (NON-CRIMINAL),PUBLIC PROPERTY-CLERY,10/3/2019,11:20 AM,MAC-19-0580,Breadsmith: Graffiti on dumpsters behind the backdoor.,10/3/2019 11:20 AM and 10/3/2019 11:30 AM,,CLOSED
,HOUSING AND RESIDENCE HALL,10/1/2019,12:00 PM,2019-TIX-12,sexual assault (rape); on-campus/housing,10/1/2019 12:00 PM and 10/1/2019 12:00 PM,137,CLOSED
SEXUAL ASSAULT : FONDLING,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL,10/1/2019,09:40 AM,MAC-19-0573,Security received a report on non-consensual touching-referred to appropriate departments.,9/30/2019 10:30 PM and 9/30/2019 10:30 PM,,REFERRED TO OTHER DEPARTMENT
DAMAGE TO PROPERTY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,9/30/2019,08:00 AM,MAC-19-0567,Security was notified of a broken windshield on the utility cart used by Bon Appetite.,9/30/2019 08:31 AM and 9/30/2019 12:00 AM,,REFERRED TO OTHER AGENCY
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,9/29/2019,12:00 PM,2019-TIX-02,sexual assault (rape); on-campus/housing,9/29/2019 12:00 PM and 9/29/2019 12:00 PM,128,CLOSED
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,9/23/2019,09:34 AM,MAC-19-0548,Security was notified of a missing key set-recovered,UNKNOWN and UNKNOWN,,CLOSED
SEX OFFENSE: FONDLING,HOUSING AND RESIDENCE HALL,9/22/2019,12:00 PM,2019-TIX-01,"sexual assault (fondling), dating violence; on-campus/housing",9/22/2019 12:00 PM and 9/22/2019 12:00 PM,127,CLOSED
SEX OFFENSE: FONDLING,HOUSING AND RESIDENCE HALL,9/20/2019,12:00 PM,2019-TIX-05,sexual assault (fondling); on-campus/housing,9/20/2019 12:00 PM and 9/20/2019 12:00 PM,131,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,9/20/2019,11:30 AM,MAC-19-0542,Security responded to a report of a missing bicycle.,9/20/2019 08:00 AM and 9/20/2019 11:30 AM,,CLOSED
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,9/17/2019,05:50 PM,MAC-19-0522,Security was notified of a theft from an athletics locker room.,9/17/2019 04:40 PM and 9/17/2019 06:20 PM,,REFERRED TO OTHER AGENCY
DAMAGE TO PROPERTY,MACALESTER CAMPUS : PARKING : SOUTH PARKING,9/17/2019,11:32 AM,MAC-19-0521,Security received a report of a damaged tire-reporting party unsure if accident or vandalism.,9/17/2019 09:30 AM and 9/17/2019 11:15 AM,,CLOSED
HARASSMENT,MACALESTER CAMPUS,9/16/2019,06:20 PM,MAC-19-0515,Security responded to a report of harassment.,9/16/2019 06:20 PM and 9/16/2019 06:20 PM,,PENDING
INFORMATION ONLY,MACALESTER CAMPUS : PARKING : SOUTH PARKING,9/14/2019,10:00 AM,MAC-19-0502,Security towed/relocated 5 cars parked in the North Stadium lot.,9/14/2019 10:00 AM and 9/14/2019 11:30 AM,,CLOSED
DAMAGE TO PROPERTY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,9/13/2019,10:10 PM,MAC-19-0498,Security responded to a report of a damaged sign in a residence hall.,9/13/2019 10:10 PM and 9/13/2019 10:25 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/13/2019,03:00 PM,MAC-19-0496,Security observed a bicycle theft via security cameras.,9/13/2019 01:19 AM and 9/13/2019 01:20 AM,,CLOSED
LOITERING,MACALESTER CAMPUS : EXTERIOR SPACES,9/13/2019,12:05 PM,MAC-19-0495,Security responded to a report of a transient lying in the bushes near an administration building.  Advised and sent.,9/13/2019 12:05 PM and 9/13/2019 12:30 PM,,ADVISED AND SENT
FRAUD : FINANCIAL TRANSACTION CARD,OFF CAMPUS (NON-CLERY),9/9/2019,06:00 PM,MAC-19-0483,Security received a report of missing bank cards and fraud.,9/6/2019 08:00 AM and 9/6/2019 02:00 PM,,CLOSED
INFORMATION ONLY,OFF CAMPUS (NON-CLERY),9/4/2019,12:47 PM,MAC-19-0468,Security was contacted by concerned parent to provide information regarding a prior harassment issue.,UNKNOWN and UNKNOWN,,CLOSED
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,9/1/2019,12:00 PM,2019-TIX-13,"sexual assault (unknown; would be either fondling or rape, not incest/statutory); on-campus/housing",9/1/2019 12:00 PM and 9/1/2019 12:00 PM,138,CLOSED
,SHAW FIELD,9/1/2019,12:00 PM,2019-TIX-04,"dating violence; on-campus [outside, near LC]",9/1/2019 12:00 PM and 9/1/2019 12:00 PM,130,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/30/2019,08:59 AM,MAC-19-0446,Bicycle theft from Doty Hall Bike rack.,8/30/2019 08:59 AM and 8/30/2019 09:10 AM,,
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HIGHLANDER:THE SHOP AT MACALESTER,8/27/2019,02:58 PM,MAC-19-0443,Security responded to a report of shoplifting at the Highlander Store.,8/27/2019 02:51 PM and 8/27/2019 02:56 PM,,REFERRED TO OTHER AGENCY
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,8/24/2019,10:00 PM,MAC-19-0441,Vandalism of Washer unit in Bigelow Hall,8/24/2019 10:30 PM and 8/24/2019 11:25 PM,,
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,8/22/2019,02:06 PM,MAC-19-0439,Security responded to a call concerning a theft at an athletics facility.,8/20/2019 08:00 PM and 8/20/2019 09:00 PM,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,HIGHWINDS PROPERTY,8/22/2019,10:05 AM,MAC-19-0438,Security responded to a report of graffiti on a window at a High Winds property.,8/22/2019 10:05 AM and 8/22/2019 10:05 AM,,CLOSED
THEFT : LARCENY,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,8/20/2019,08:45 PM,MAC-19-0435,Security was notified of a theft of property (cell phone) from the Leonard Center,8/20/2019 07:30 PM and 8/20/2019 09:30 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/19/2019,07:58 PM,MAC-19-0433,Stolen bike from Dupre bike rack.,8/19/2019 07:58 PM and 8/19/2019 08:05 PM,,CLOSED
DISBTURBANCE : VERBAL,MACALESTER CAMPUS : EXTERIOR SPACES : SHAW FIELD,8/19/2019,05:53 PM,MAC-19-0434,Private rental requested unwanted party removed from event.,8/19/2019 06:00 PM and 8/19/2019 06:27 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS,8/18/2019,12:10 AM,MAC-19-0431,Possible theft of two bicycles.,8/17/2019 09:36 PM and 8/17/2019 09:38 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/17/2019,06:25 AM,MAC-19-0432,Security Officer discovered evidence of bicycle theft from Dupre Bike racks,8/17/2019 04:10 AM and 8/17/2019 06:25 AM,,CLOSED
BURGLARY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 30 MAC,8/13/2019,07:00 PM,MAC-19-0429,Security received an online report of suspicious activity and broken window screens.,8/10/2019 12:15 AM and 8/15/2019 10:00 AM,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ATHLETIC FACILITIES : NICHOLSON FIELD,8/13/2019,08:00 AM,MAC-19-0424,Security observed new graffiti at the baseball field grandstand.,8/13/2019 08:00 AM and 8/13/2019 08:00 AM,,REFERRED TO OTHER DEPARTMENT
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS,8/12/2019,02:15 AM,MAC-19-0416,Tow Truck damaged a car's tire and deflated it.,8/12/2019 02:15 AM and 8/12/2019 02:15 AM,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/10/2019,09:00 AM,MAC-19-0415,Security Officer observed on video footage of a theft of bicycle parts from the Dupre Bike Racks.,8/10/2019 12:20 AM and 8/10/2019 09:00 AM,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/10/2019,08:45 AM,MAC-19-0414,Security Officer observed video footage of theft of bicycle parts from Dupre bike racks,8/10/2019 12:14 AM and 8/10/2019 08:45 AM,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/10/2019,06:20 AM,MAC-19-0413,Security Officer observed video footage of a theft of bicycle parts from Dupre bike racks,8/9/2019 05:29 AM and 8/10/2019 06:20 AM,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/10/2019,06:15 AM,MAC-19-0412,Security Officer observed on video camera theft of bicycle parts from Dupre Bike Racks.,8/9/2019 01:58 AM and UNKNOWN,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ATHLETIC FACILITIES : NICHOLSON FIELD,8/8/2019,08:30 AM,MAC-19-0410,Security observed new graffiti at an outdoor athletics facility.,8/8/2019 08:30 AM and 8/8/2019 08:30 AM,,CLOSED
MOTOR VEHICLE CRASH,ROADWAY : SNELLING AVENUE,8/7/2019,09:40 AM,MAC-19-0408,Security responded to a report of a damaged vehicle in a college parking lot.,8/7/2019 09:35 AM and 8/7/2019 10:05 AM,,CLOSED
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,8/5/2019,07:45 AM,MAC-19-0406,Security responded to a report of theft of property from Neill Hall room 400.,8/2/2019 05:25 PM and 8/5/2019 07:45 AM,,REFERRED TO OTHER AGENCY
DISBTURBANCE : GROUP,MACALESTER CAMPUS : ATHLETIC FACILITIES : STADIUM,7/30/2019,09:00 PM,MAC-19-0402,Security responded to a group of youth causing disturbance at the stadium.,7/30/2019 09:00 PM and 7/30/2019 09:15 PM,,CLOSED
COUNTERFEITING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HIGHLANDER:THE SHOP AT MACALESTER,7/23/2019,07:45 AM,MAC-19-0400,It was reported to security that an unknown party used a counterfeit $100 bill at the Highlander Bookstore.,7/22/2019 09:00 AM and 7/22/2019 07:00 PM,,CLOSED
THEFT : FROM MOTOR VEHICLE,ROADWAY : MACALESTER STREET,7/16/2019,07:45 PM,MAC-19-0389,Security responded to report of theft of property from a vehicle on Macalester Street near Grand ave.,7/16/2019 07:45 PM and 7/16/2019 08:45 PM,,CLOSED
FRAUD,OFF CAMPUS (NON-CLERY),7/14/2019,12:00 PM,MAC-19-0477,Security was notified of fraudulent use of credit card.,7/14/2019 12:00 PM and 7/14/2019 12:00 PM,,CLOSED
INFORMATION ONLY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,7/13/2019,12:30 PM,MAC-19-0386,Security observed an ATM machine with its front panel open.,7/13/2019 12:30 PM and 7/13/2019 12:45 PM,,CLOSED
,SNELLING AVENUE,7/12/2019,09:00 PM,19152875,Drug-Possession of Cocaine,7/12/2019 09:00 PM and 7/12/2019 09:00 PM,116,CLOSED
FRAUD,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER HALL,7/12/2019,02:10 PM,MAC-19-0385,Staff member reported credit cards and ID being taken from desk.,7/12/2019 02:10 PM and UNKNOWN,,CLOSED
THREATS : TERRORISTIC,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,7/10/2019,10:08 AM,MAC-19-0384,Staff Member received phone threats,7/10/2019 10:08 AM and 7/10/2019 11:45 AM,,REFERRED TO OTHER AGENCY
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,7/9/2019,08:15 PM,MAC-19-0382,While on patrol Security officer observed bicycle tire missing off of bicycle at Dupre bike racks.,7/8/2019 06:39 AM and 7/9/2019 08:15 PM,,CLOSED
BIAS/HATE INCIDENT,PUBLIC PROPERTY-CLERY,6/29/2019,12:37 AM,MAC-19-0353,man shouting hateful words to campus students,6/29/2019 12:39 AM and 6/29/2019 12:57 AM,,CLOSED
THEFT,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,6/28/2019,09:00 AM,MAC-19-0351,"While reviewing footage from the Dupre patio cameras, Security observed 2 suspicious individuals casing the bike racks.",6/28/2019 02:56 AM and 6/28/2019 02:59 AM,,CLOSED
MISSING PERSON : PERSON,MACALESTER CAMPUS,6/26/2019,04:20 PM,MAC-19-0348,Received a call about a missing MITY student. Student was found in the MITY office.,6/26/2019 04:20 PM and 6/26/2019 04:40 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,6/24/2019,02:08 PM,MAC-19-0347,Security was informed that a MacBike was stolen.,6/22/2019 05:14 AM and 6/22/2019 05:14 AM,,CLOSED
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,6/21/2019,08:56 PM,MAC-19-0344,Security received an email alerting us to a theft from an athletics facility.  Saint Paul Police were notified.,6/21/2019 06:30 PM and 6/21/2019 07:15 PM,,CLOSED
THEFT : MOTOR VEHICLE THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,6/21/2019,07:50 PM,MAC-19-0343,Security responded to a reported vehicle theft.,6/21/2019 07:50 PM and 6/21/2019 09:40 PM,,REFERRED TO OTHER AGENCY
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,6/16/2019,06:35 AM,MAC-19-0336,Theft of Bicycle from Dupre bike racks,6/16/2019 02:39 AM and 6/16/2019 06:35 AM,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,6/11/2019,07:25 AM,MAC-19-0328,Graffiti on construction trailer and dumpster.,6/11/2019 07:25 AM and 6/11/2019 07:30 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,6/9/2019,01:00 AM,MAC-19-0325,Security was notified of the theft of a bicycle from Macalester Street.,6/8/2019 10:00 PM and 6/9/2019 01:00 AM,,REFERRED TO OTHER AGENCY
THEFT : MOTOR VEHICLE THEFT,MACALESTER CAMPUS : EXTERIOR SPACES : GREAT LAWN,6/9/2019,01:00 AM,MAC-19-0326,Security responded to the theft of a rental golf cart-recovered,6/9/2019 01:00 AM and 6/9/2019 02:00 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,6/8/2019,08:00 AM,MAC-19-0315,Security Officer discovered abandoned bicycle at Dupre Hall,6/8/2019 08:00 AM and 6/8/2019 08:05 AM,,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,6/5/2019,08:23 AM,MAC-19-0308,"Security responded to reported graffiti-""Shame on Crackers"" written on wall outside of campus.",6/5/2019 08:23 AM and 6/5/2019 08:40 AM,,CLOSED
