Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
THEFT : FROM BUILDING/STRUCTURE,HIGHWINDS PROPERTY,10/2/2021,12:17 PM,MAC-21-0793,Macalester College Public Safety received report of bicycle stolen from garage of Highwinds Property.,10/4/2021 04:57 PM and 10/4/2021 04:57 PM,,CLOSED.NO FURTHER ACTION
DISBTURBANCE : VERBAL,MACALESTER CAMPUS : ATHLETIC FACILITIES,9/30/2021,12:06 PM,MAC-21-0778,Public Safety responded to a disturbance.,9/30/2021 12:06 PM and 9/30/2021 12:15 PM,,CLOSED.NO FURTHER ACTION
BURGLARY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : KIRK HALL,9/29/2021,10:35 PM,MAC-21-0775,Public Safety responded to a burglary report.,9/29/2021 07:10 PM and 9/29/2021 10:30 PM,,CLOSED.REFERRED TO DEPARTMENT
THEFT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,9/24/2021,11:46 AM,MAC-21-0780,Macalester College Public Safety received theft report.,9/24/2021 12:15 PM and 9/24/2021 01:00 PM,,CLOSED.NO SUSPECT OR WITNESS
HARASSMENT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER MEMORIAL CHAPEL,9/23/2021,08:50 PM,MAC-21-0767,"I, MCPS Officer Cameron St Pierre, am reporting an ongoing issues with a Macalester College student.",9/23/2021 08:50 PM and 9/23/2021 08:50 PM,,CLOSED.REFERRED TO DEPARTMENT
ASSIST : VEHICLE START,OFF CAMPUS (NON-CLERY),9/21/2021,09:05 AM,MAC-21-0729,Public Safety was dispatched to assist with a Vehicle Start.,9/21/2021 09:05 AM and 9/21/2021 09:15 AM,,CLOSED.SERVICE COMPLETE
FIRE : SMOKE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : LAMPERT BUILDING,9/20/2021,06:20 PM,MAC-21-0725,Macalester College Public Safety responded to a report of smoke in Lampert Building.,9/20/2021 06:20 PM and 9/20/2021 06:40 PM,,CLOSED.SERVICE COMPLETE
INAPPROPRIATE COMMUNICATIONS,OFF CAMPUS (NON-CLERY),9/20/2021,11:00 AM,MAC-21-0724,Public Safety received a call concerning unwanted communication with a Macalester student.,9/20/2021 11:00 AM and 9/20/2021 11:15 AM,,"CLOSED.REFERRED TO STUDENT 
AFFAIRS"
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,9/20/2021,07:00 AM,MAC-21-0723,Public Safety observed graffiti on a college marquee.  Referred to Grounds for removal.,9/20/2021 07:00 AM and 9/20/2021 07:00 AM,,CLOSED.REFERRED TO DEPARTMENT
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/19/2021,08:21 PM,MAC-21-0726,Macalester College Public Safety received a report of a stolen bike.,9/18/2021 05:21 PM and 9/20/2021 05:22 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : CAMPUS CENTER,9/19/2021,02:40 PM,MAC-21-0720,Attempted bike theft,UNKNOWN and UNKNOWN,,CLOSED.NO FURTHER ACTION
THEFT : BICYCLE,MACALESTER CAMPUS : PARKING : LEONARD CENTER,9/18/2021,04:18 PM,MAC-21-0715,Public Safety received an online report of a bike theft.,9/17/2021 03:00 AM and 9/17/2021 07:00 AM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : ACCIDENTAL,ROADWAY : MACALESTER STREET,9/17/2021,08:15 AM,MAC-21-0707,Public Safety was notified by a Groundskeeper of a storm damaged vehicle on a city street.  Student/Vehicle Owner notified.,9/17/2021 08:15 AM and 9/17/2021 08:15 AM,,CLOSED.SERVICE COMPLETE
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MUSIC BUILDING,9/15/2021,12:55 PM,MAC-21-0703,Public Safety took a report of a Theft from a staff members office,9/15/2021 11:30 AM and 9/15/2021 12:55 PM,,OPEN
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,9/15/2021,07:30 AM,MAC-21-0702,Public Safety responded to a report of locks cut off outside a campus building,9/15/2021 07:30 AM and 9/15/2021 07:30 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : PARKING : SOUTH PARKING,9/14/2021,07:30 PM,MAC-21-0727,Macalester College Public Safety observed an unreported bike theft while reviewing cameras.,9/6/2021 10:20 PM and 9/6/2021 10:24 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,9/13/2021,07:45 PM,MAC-21-0695,Macalester College Public Safety responded to a report of a suspicious person on campus.,9/13/2021 07:45 PM and 9/13/2021 08:03 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,9/12/2021,11:15 AM,MAC-21-0689,Public Safety observed graffiti on college signage.  Submitted Work Order for removal.,9/12/2021 11:15 AM and 9/12/2021 11:20 AM,,CLOSED.REFERRED TO DEPARTMENT
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/9/2021,09:33 AM,MAC-21-0685,Public Safety received an online report of a bike theft.,8/27/2021 12:00 PM and 8/29/2021 09:30 AM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : PARKING : LEONARD CENTER,9/9/2021,09:32 AM,MAC-21-0684,Public Safety received an online report of a bike theft.,9/8/2021 12:00 AM and 9/8/2021 04:30 AM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,9/8/2021,02:47 AM,MAC-21-0679,Public Safety observed a suspicious activity.,9/8/2021 02:47 AM and 9/8/2021 02:51 AM,,CLOSED.NO FURTHER ACTION
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : 30 MAC,9/7/2021,04:30 PM,MAC-21-0682,Macalester College Public Safety took a report for a stolen bike.,9/7/2021 03:00 PM and 9/7/2021 04:30 PM,,CLOSED.NO SERVICE
MISSING PERSON : PERSON,ROADWAY : GRAND AVENUE,9/6/2021,01:11 PM,MAC-21-0672,"Public Safety responded to an attempt to locate. Non-Mac affiliated subject experiencing a mental health emergency found and 
transported.",9/6/2021 01:11 PM and 9/6/2021 01:35 PM,,CLOSED.TRANSPORTED
LOITERING,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,9/6/2021,03:40 AM,MAC-21-0671,Public Safety observed a suspicious individual.,9/6/2021 03:40 AM and 9/6/2021 03:50 AM,,CLOSED.NO FURTHER ACTION
THEFT : INCLUDING ATTEMPTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : STADIUM,9/6/2021,02:30 AM,MAC-21-0670,Public Safety observed a suspicious activity.,9/6/2021 02:30 AM and 9/6/2021 02:35 AM,,CLOSED.NO SERVICE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : 30 MAC,9/4/2021,09:30 AM,MAC-21-0659,Public Safety received a theft of bicycle report.,8/29/2021 05:00 PM and 9/4/2021 09:30 AM,,CLOSED.SERVICE COMPLETE
THEFT : FROM MOTOR VEHICLE,ROADWAY : SUMMIT AVENUE,9/1/2021,07:00 PM,MAC-21-0794,Macalester College Public Safety took a report for a vehicle break.,9/28/2021 09:30 PM and 10/1/2021 07:00 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : 30 MAC,9/1/2021,06:54 PM,MAC-21-0645,Public Safety received an online report of a bike theft.,8/29/2021 12:00 PM and 8/31/2021 05:00 AM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,8/31/2021,11:30 AM,MAC-21-0638,Student reported their Trek men's bicycle was stolen from outside of Doty Hall.,8/28/2021 12:00 PM and 8/31/2021 12:00 PM,,
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : EXTERIOR SPACES,8/29/2021,07:53 PM,MAC-21-0628,Public Safety observed a damage to property.,8/29/2021 07:53 PM and 8/29/2021 07:56 PM,,CLOSED.REFERRED TO DEPARTMENT
LOITERING,MACALESTER CAMPUS : EXTERIOR SPACES,8/23/2021,12:10 AM,MAC-21-0602,Public Safety observed a suspicious individual.,8/23/2021 12:10 AM and 8/23/2021 12:17 AM,,CLOSED.NO FURTHER ACTION
THEFT : BICYCLE,MACALESTER CAMPUS : PARKING : VISITOR 1,8/21/2021,05:25 PM,MAC-21-0598,Macalester College Public Safety stopped a bike theft in progress.,8/21/2021 05:25 PM and 8/21/2021 05:35 PM,,CLOSED
ASSIST : VEHICLE LOCKOUT,MACALESTER CAMPUS : PARKING : LEONARD CENTER,8/16/2021,07:30 PM,MAC-21-0584,Macalester College Public Safety assisted a Macalester employee with getting into their vehicle.,8/16/2021 07:30 PM and 8/16/2021 07:45 PM,,CLOSED.SERVICE COMPLETE
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : EXTERIOR SPACES,8/12/2021,09:30 AM,MAC-21-0578,Public Safety Discovered Graffiti on a Sidewalk outside of Doty a residential hall.,8/12/2021 09:30 AM and 8/12/2021 09:30 AM,,CLOSED
DAMAGE TO PROPERTY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,8/7/2021,01:40 PM,MAC-21-0570,Public Safety was alerted to a roof leak on the 4th floor of an academic building.,8/7/2021 01:40 PM and 8/7/2021 02:30 PM,,CLOSED.REFERRED TO DEPARTMENT
LOITERING,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,8/2/2021,09:24 AM,MAC-21-0563,Public Safety observed a serial loiterer on campus. Advised and sent.,8/2/2021 09:20 AM and 8/2/2021 09:30 AM,,CLOSED.SUBJECT ADVISED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,7/30/2021,12:00 PM,MAC-21-0560,Review of security camera footage revealed a theft of a bicycle part several weeks previous.,7/9/2021 12:00 AM and 7/9/2021 12:00 AM,,CLOSED.NO FURTHER ACTION
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : LAMPERT BUILDING,7/27/2021,10:45 AM,MAC-21-0556,Public Safety was approached about found property.  Property was tracked to a campus office found burglarized.,7/26/2021 09:00 AM and 7/27/2021 09:00 AM,,OPEN CASE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,7/25/2021,12:00 PM,MAC-21-0552,Public Safety reviewed camera footage and observed a bike theft and an attempted theft.,7/25/2021 02:30 AM and 7/25/2021 02:35 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
THEFT : INCLUDING ATTEMPTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,7/25/2021,12:00 PM,MAC-21-0552,Public Safety reviewed camera footage and observed a bike theft and an attempted theft.,7/25/2021 02:30 AM and 7/25/2021 02:35 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
FIRE : BUILDING,HIGHWINDS PROPERTY : SCOTSDALE (40 SOUTH SNELLING) : SAINT PAUL CHEESE SHOP-1573 GRAND,7/25/2021,03:10 AM,MAC-21-0551,Macalester College Public Safety was made notified of fire in St. Paul Cheese Shop.,UNKNOWN and UNKNOWN,,CLOSED.NO FURTHER ACTION
FIRE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 180-182 VERNON STREET (FRENCH HOUSE),7/23/2021,06:00 PM,MAC-21-0548,Macalester College Public Safety was made notified of fan wire catching fire.,7/23/2021 06:00 PM and 7/23/2021 06:20 PM,,CLOSED.NO FURTHER ACTION
MOTOR VEHICLE CRASH,NON-CAMPUS (CLERY GEOGRAPHY),7/23/2021,09:49 AM,MAC-21-0547,MVA,5/8/2021 12:15 PM and 5/8/2021 12:15 PM,,CLOSED.NO FURTHER ACTION
LOITERING,MACALESTER CAMPUS : ATHLETIC FACILITIES,7/22/2021,11:05 PM,MAC-21-0546,Public Safety observed a individual on campus loitering.,7/22/2021 11:05 PM and 7/22/2021 11:10 PM,,CLOSED.NO FURTHER ACTION
DAMAGE TO PROPERTY,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,7/20/2021,08:45 AM,MAC-21-0539,Public Safety observed damaged property on the exterior surface of a residence hall.  Wrote work order to repair.,7/19/2021 05:33 PM and 7/19/2021 05:35 PM,,CLOSED.REFERRED TO DEPARTMENT
ASSIST : VEHICLE START,ROADWAY : SUMMIT AVENUE,7/15/2021,07:52 PM,MAC-21-0533,Macalester College Public Safety assisted student with jumping their vehicle.,7/15/2021 07:52 PM and 7/15/2021 07:52 PM,,CLOSED.SERVICE COMPLETE
GRAFFITI (NON-CRIMINAL),HIGHWINDS PROPERTY,7/7/2021,09:45 AM,MAC-21-0521,Public Safety Observed Graffiti on two exterior spaces off campus.  Referred to Grounds Department for removal,7/7/2021 09:45 AM and 7/14/2021 09:45 AM,,CLOSED
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,7/6/2021,09:00 AM,MAC-21-0518,Public Safety observed that a bicycle had been stripped of parts on a campus rack.,7/4/2021 01:15 AM and 7/4/2021 01:45 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
